Date,Last_Price,Open,High,Low,Prev_Close,Amount_Money,Volume_Units,Num_Trades,Time,Volume_Calls,Volume_Put,IV_Call_Avg,IV_Put_Avg,Risk_Free_Rate,Days_To_Expiry,Years_To_Expiry,Simple_Return,Log_Return,Dividend,Adj_Price
2025-04-23,7580.0,7460.0,7720.0,7460.0,7280.0,29740509670.0,3904285.0,,0.70821759,5558307166.0,1204071387.0,0.4507500784737723,0.5641446794782367,0.2801,57.0,0.15616438356164383,0.041208791208791284,0.04038233744568576,0.0,7363.436760364814
2025-04-24,7580.0,7600.0,7930.0,7540.0,7580.0,27377889380.0,3518902.0,,0.7082407407407407,5846696856.0,1270332585.0,0.42154039655412945,0.5343028477260044,0.2761,56.0,0.15342465753424658,0.0,0.0,0.0,7363.436760364814
2025-04-25,7610.0,7520.0,7730.0,7520.0,7580.0,15426219040.0,2022374.0,,0.7080555555555555,1924130981.0,579170845.0,0.4083742414202009,0.5690274919782367,0.31,55.0,0.1506849315068493,0.003957783641160839,0.003949972219314069,0.0,7392.5796499177095
2025-04-28,7430.0,7610.0,7690.0,7310.0,7610.0,10888477360.0,1468569.0,,0.7082523148148148,3118750439.0,726487738.0,0.42377471923828125,0.5317742483956474,0.33,52.0,0.14246575342465753,-0.023653088042049908,-0.023937313143926643,0.0,7217.722312600339
2025-04-29,7290.0,7420.0,7470.0,7240.0,7430.0,11970288620.0,1631781.0,,0.7083101851851852,1773883990.0,462786266.0,0.46975135803222656,0.4830360412597656,0.261,51.0,0.13972602739726028,-0.018842530282637937,-0.019022312709101,0.0,7081.722161353496
2025-04-30,7190.0,7170.0,7340.0,7070.0,7290.0,16841108760.0,2324950.0,,0.70824074,2256645686.0,571477806.0,0.4645047869001116,0.48221588134765625,0.3275,50.0,0.136986301369863,-0.013717421124828544,-0.013812374287611472,0.0,6984.579196177178
2025-05-05,6980.0,7030.0,7150.0,6910.0,7190.0,16954290440.0,2407620.0,,0.7082060185185185,2454017747.0,744156467.0,0.4631096976143973,0.5040795462472099,0.35,45.0,0.1232876712328767,-0.029207232267037586,-0.02964225495867425,0.0,6780.578969306914
2025-05-06,7100.0,7030.0,7190.0,6970.0,6980.0,19046403410.0,2677886.0,,0.7081713,1806463732.0,862645599.0,0.4667186737060547,0.4876708984375,0.32,44.0,0.12054794520547946,0.017191977077363862,0.0170458672729886,54.785866,6950.785002978777
2025-05-07,6800.0,7070.0,7070.0,6760.0,7100.0,19888346900.0,2897768.0,,0.70828704,2772906462.0,1432226532.0,0.4967444283621652,0.4926027570452009,0.295,43.0,0.1178082191780822,-0.04225352112676062,-0.04317217186520878,0.0,6657.089862007842
2025-05-08,6840.0,6820.0,6870.0,6650.0,6800.0,21008241000.0,3105452.0,,0.70822917,2543934627.0,942102223.0,0.4199273245675223,0.5011476789202008,0.33,42.0,0.11506849315068493,0.00588235294117645,0.005865119452398058,0.0,6696.2492141373
2025-05-09,6780.0,6840.0,6920.0,6700.0,6780.214,14602640970.0,2140992.0,,0.70829861,1094935388.0,194818307.0,0.479888916015625,0.4628808157784598,0.3,41.0,0.11232876712328767,-0.00877192982456143,-0.00881062968215492,0.0,6637.510185943113
2025-05-12,7290.0,6940.0,7300.0,6850.0,6780.0,55416028100.0,7784835.0,,0.70832176,4346298800.0,900363670.0,0.38542066301618305,0.5394799368722099,0.29,38.0,0.10410958904109589,0.0752212389380531,0.07252644406826259,0.0,7136.791925593701
2025-05-13,7310.0,7280.0,7350.0,7150.0,7290.0,40437282570.0,5548545.0,,0.70828704,3430570698.0,655590427.0,0.3784452165876116,0.511153084891183,0.2801,37.0,0.10136986301369863,0.00274348422496562,0.0027397277411202693,0.0,7156.37160165843
2025-05-14,7240.0,7330.0,7330.0,7130.0,7310.0,13896666720.0,1927739.0,,0.70825231,2476896594.0,537583028.0,0.3749275207519531,0.45395851135253906,0.32,36.0,0.09863013698630137,-0.009575923392612817,-0.009622067364062096,0.0,7087.842735431879
2025-05-15,7180.0,7060.0,7230.0,7000.0,7240.0,13249413860.0,1849634.0,,0.70827546,2071092246.9999998,493414090.3,0.36241258893694195,0.4690061296735491,0.33,35.0,0.0958904109589041,-0.008287292817679592,-0.008321823337492217,0.0,7029.103707237692
2025-05-16,7300.0,7190.0,7330.0,7100.0,7180.0,26950681010.0,3723322.0,,0.7083217592592592,3058495403.0,603319710.0,0.43,0.5,0.273,34.0,0.09315068493150686,0.01671309192200554,0.0165749650942126,0.0,7146.581763626066
2025-05-19,7400.0,7410.0,7530.0,7380.0,7300.0,21365221080.0,2862380.0,,0.708287037037037,3219495707.0,597627791.0,0.3792299543108259,0.45854296003069195,0.29,31.0,0.08493150684931507,0.013698630136986356,0.013605652055778678,0.0,7244.4801439497105
2025-05-20,7410.0,7400.0,7500.0,7360.0,7400.0,15932596290.0,2136296.0,,0.70819444,3096213579.0,470090811.0,0.3427396501813616,0.46022142682756695,0.305,30.0,0.0821917808219178,0.0013513513513514486,0.0013504390978715467,0.0,7254.2699819820755
2025-05-21,7240.0,7460.0,7490.0,7200.0,7410.0,20611628090.0,2821834.0,,0.70829861,2511401967.0,792743840.0,0.376129150390625,0.45722007751464844,0.2501,29.0,0.07945205479452055,-0.022941970310391357,-0.023209232910370515,0.0,7087.842735431879
2025-05-22,7200.0,7300.0,7370.0,7170.0,7240.0,16750172770.0,2298795.0,,0.70831019,2554540835.0,802613673.0,0.3145108904157366,0.4560034615652902,0.3,28.0,0.07671232876712329,-0.0055248618784530246,-0.005540180375615356,0.0,7048.683383302421
2025-05-23,7330.0,7130.0,7360.0,7060.0,7200.0,20338582950.0,2800358.0,,0.70826389,2005393514.0,671884682.0,0.35887037004743305,0.43122972760881695,0.2653,27.0,0.07397260273972603,0.01805555555555549,0.017894489876550436,0.0,7175.951277723159
2025-05-26,7330.0,7330.0,7540.0,7300.0,7330.0,7816035410.0,1059236.0,,0.70829861,1233804781.0,288699041.0,0.42184557233537945,0.3924506051199777,0.2701,24.0,0.06575342465753424,0.0,0.0,0.0,7175.951277723159
2025-05-27,7220.0,7350.0,7410.0,7190.0,7330.0,24651614450.0,3397561.0,,0.7083101851851852,2593158579.0,559566419.0,0.4063905988420759,0.4098256429036458,0.2925,23.0,0.06301369863013699,-0.01500682128240105,-0.01512056299382522,0.0,7068.26305936715
2025-05-28,7130.0,6860.0,7220.0,6790.0,7220.0,64956991630.0,9212008.0,,0.7082986111111111,3661139382.0,1086631753.0,0.4,0.38,0.2701,22.0,0.06027397260273973,-0.012465373961218829,-0.012543718478530285,0.0,6980.15451707587
2025-05-29,6960.0,7010.0,7070.0,6910.0,7130.0,47801560830.0,6853475.0,,0.708275462962963,2363972250.0,966946137.0,0.36,0.42,0.32,21.0,0.057534246575342465,-0.02384291725105192,-0.024131760079876316,0.0,6813.727270525674
2025-05-30,6960.0,6890.0,7020.0,6850.0,6960.0,19303916350.0,2780547.0,,0.70821759,1684801871.0,899843816.0,0.3435788835797991,0.37657056535993305,0.27,20.0,0.0547945205479452,0.0,0.0,0.0,6813.727270525674
2025-06-02,6780.0,6930.0,6930.0,6770.0,6960.0,28365700920.0,4162680.0,,0.70826389,1339114627.0,1095523496.0,0.3776277814592634,0.38072313581194195,0.2451,17.0,0.04657534246575343,-0.025862068965517238,-0.026202372394024072,0.0,6637.510185943113
2025-06-03,6800.0,6740.0,6850.0,6660.0,6780.0,17619727020.0,2589611.0,,0.70810185,975097513.0,1042531526.0,0.4009192330496652,0.3633390154157366,0.2601,16.0,0.043835616438356165,0.002949852507374562,0.0029455102297567446,0.0,6657.089862007842
2025-06-04,6480.0,6690.0,6760.0,6460.0,6800.0,49155241540.0,7457350.0,,0.7082986111111111,2558022422.0,1618707641.0,0.44602711995442706,0.4282124837239583,0.29,15.0,0.0410958904109589,-0.04705882352941182,-0.04820210181787775,0.0,6343.815044972179
