Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Parity,Return,Original_Strike
2021-05-20,GFGV12498J,124.98,Put,1.437,919608.0,1.95,1.95,1.3,2.011,6266.0,0.47519683837890625,0.01031216361679225,14.36999999999999,-0.2854301342615614,125.99359700000001
2021-05-20,GFGV12798J,127.98,Put,2.109,869193.0,2.1,2.94,2.0,2.891,3825.0,0.48397064208984375,0.015134553283100108,11.36999999999999,-0.2704946385333795,128.993597
2021-05-20,GFGV13098J,130.98,Put,2.939,1525147.0,3.94,3.94,2.77,4.168,4908.0,0.49091339111328125,0.021090778614998206,8.370000000000005,-0.2948656429942419,131.993597
2021-05-20,GFGV13398J,133.98,Put,4.124,1476982.0,4.75,5.099,4.1,5.274,3321.0,0.5103683471679688,0.029594546106925006,5.3700000000000045,-0.2180508153204399,134.993597
2021-05-20,GFGV13898J,138.98,Put,6.5,684506.0,7.47,7.7,6.2,8.3,1037.0,0.5384445190429688,0.046645138141370654,0.37000000000000455,-0.2168674698795181,139.993597
2021-05-20,GFGV14398J,143.98,Put,9.9,129695.0,10.0,12.0,9.0,10.4,134.0,0.5993270874023438,0.037818442770003624,4.6299999999999955,-0.04807692307692313,144.993597
2021-05-20,GFGV14898J,148.98,Put,12.917,83661.0,13.0,15.5,12.8,0.0,60.0,0.6086349487304688,0.023588087549336237,9.629999999999995,0.0,149.993597
2021-05-20,GFGV15398J,153.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.629999999999995,0.0,154.993597
2021-05-20,GFGV15898J,158.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.629999999999995,0.0,159.993597
2021-05-20,GFGV165.JU,165.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,25.650000000000006,0.0,166.013597
2021-05-20,GFGV170.JU,170.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,30.650000000000006,0.0,171.013597
2021-05-20,GFGV175.JU,175.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,35.650000000000006,0.0,176.013597
2021-05-20,GFGV180.JU,180.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,40.650000000000006,0.0,181.013597
2021-05-20,GFGV18898J,188.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,49.629999999999995,0.0,189.993597
2021-05-20,GFGV19898J,198.98,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,59.629999999999995,0.0,199.993597
2021-05-20,GFGV210.JU,210.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.65,0.0,211.013597
2021-05-20,GFGV220.JU,220.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,80.65,0.0,221.013597
2021-05-20,GFGV82983J,82.983,Put,0.172,29193.0,0.199,0.199,0.11,0.165,1857.0,0.9156417846679688,0.001234302116971654,56.36699999999999,0.04242424242424225,83.99659700000001
2021-05-20,GFGV85983J,85.983,Put,0.176,2884.0,0.225,0.225,0.121,0.153,177.0,0.8650588989257812,0.0012630068173663438,53.36699999999999,0.15032679738562083,86.99659700000001
2021-05-20,GFGV88983J,88.983,Put,0.201,7444.0,0.13,0.225,0.13,0.198,429.0,0.8295822143554688,0.0014424111948331542,50.36699999999999,0.015151515151515138,89.99659700000001
2021-05-20,GFGV94983J,94.983,Put,0.22,11248.0,0.15,0.24,0.142,0.219,607.0,0.7389450073242188,0.0015787585217079297,44.36699999999999,0.004566210045662045,95.99659700000001
2021-05-20,GFGV97983J,97.983,Put,0.243,15367.0,0.2,0.25,0.15,0.231,718.0,0.7011795043945312,0.0017438105489773952,41.36699999999999,0.051948051948051965,98.99659700000001
2021-05-21,GFGC10098J,100.98,Call,34.305,2505835.0,40.0,40.0,33.501,38.5,707.0,3.814697265625e-05,0.0009988901220865558,34.17,-0.10896103896103893,101.99359700000001
2021-05-21,GFGC10398J,103.98,Call,32.0,575647.0,38.0,38.0,32.0,36.0,178.0,3.814697265625e-05,0.006141324454310013,31.17,-0.11111111111111116,104.99359700000001
2021-05-21,GFGC10698J,106.98,Call,29.0,1680566.0,31.5,31.5,28.1,32.0,573.0,3.814697265625e-05,0.006141324454310013,28.17,-0.09375,107.99359700000001
2021-05-21,GFGC10998J,109.98,Call,25.913,1818528.0,28.0,28.0,25.5,29.778,685.0,3.814697265625e-05,0.005497595264520891,25.17,-0.12979380750889913,110.99359700000001
2021-05-21,GFGC11298J,112.98,Call,22.993,2314823.0,28.0,28.0,22.9,26.701,944.0,3.814697265625e-05,0.006089530151683291,22.17,-0.13887120332571823,113.99359700000001
2021-05-21,GFGC11598J,115.98,Call,20.232,1580540.0,24.3,24.5,19.25,24.0,755.0,3.814697265625e-05,0.007857935627081003,19.17,-0.15700000000000003,116.99359700000001
2021-05-21,GFGC11898J,118.98,Call,17.303,7940642.0,21.7,22.0,15.1,21.133,4314.0,3.814697265625e-05,0.008383277839437655,16.17,-0.1812331424785879,119.99359700000001
2021-05-21,GFGC12198J,121.98,Call,14.505,4696004.0,18.9,18.9,14.5,18.277,3007.0,3.814697265625e-05,0.009877913429522746,13.170000000000002,-0.20637960277944956,122.99359700000001
2021-05-21,GFGC12498J,124.98,Call,12.165,2796079.0,16.0,16.0,12.05,15.657,2139.0,3.814697265625e-05,0.014761376248612634,10.170000000000002,-0.22303123203678876,125.99359700000001
2021-05-21,GFGC12798J,127.98,Call,9.956,6335917.0,14.0,14.0,9.9,13.111,5929.0,3.814697265625e-05,0.020614132445430984,7.170000000000002,-0.24063763252230963,128.993597
2021-05-21,GFGC13098J,130.98,Call,8.022,10933366.0,11.25,12.5,7.82,11.009,12508.0,0.20206451416015625,0.028501664816870026,4.170000000000016,-0.27132346262149154,131.993597
2021-05-21,GFGC13398J,133.98,Call,6.324,15577745.0,9.1,10.0,6.25,8.999,21754.0,0.24822235107421875,0.03813540510543828,1.170000000000016,-0.2972552505833982,134.993597
2021-05-21,GFGC13898J,138.98,Call,4.26,25860215.0,6.0,6.5,4.13,6.072,52337.0,0.29750823974609375,0.031520532741398447,3.829999999999984,-0.29841897233201586,139.993597
2021-05-21,GFGC14398J,143.98,Call,2.963,17260481.0,4.4,4.5,2.75,4.284,49567.0,0.33992767333984375,0.02192378838327784,8.829999999999984,-0.30835667600373473,144.993597
2021-05-21,GFGC14898J,148.98,Call,1.951,5161419.0,3.0,3.2,1.89,2.899,22165.0,0.36334991455078125,0.014435812060673325,13.829999999999984,-0.32700931355639873,149.993597
2021-05-21,GFGC15398J,153.98,Call,1.344,1200513.0,1.928,2.0,1.28,1.928,8182.0,0.39005279541015625,0.009944506104328524,18.829999999999984,-0.3029045643153526,154.993597
2021-05-21,GFGC15898J,158.98,Call,0.915,1549103.0,1.35,1.749,0.861,1.307,15619.0,0.41133880615234375,0.006770255271920089,23.829999999999984,-0.29992348890589127,159.993597
2021-05-21,GFGC165.JU,165.0,Call,0.651,113437.0,0.924,0.924,0.6,0.924,1448.0,0.44628143310546875,0.004816870144284129,29.849999999999994,-0.2954545454545454,166.013597
2021-05-21,GFGC170.JU,170.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,34.849999999999994,0.0,171.013597
2021-05-21,GFGC175.JU,175.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,39.849999999999994,0.0,176.013597
2021-05-21,GFGC180.JU,180.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44.849999999999994,0.0,181.013597
2021-05-21,GFGC18898J,188.98,Call,0.37,172894.0,0.65,0.65,0.31,0.516,4385.0,0.6170272827148438,0.002737698853126156,53.829999999999984,-0.2829457364341086,189.993597
2021-05-21,GFGC19898J,198.98,Call,0.316,270711.0,0.45,0.45,0.251,0.456,9312.0,0.6790542602539062,0.002338142804291528,63.829999999999984,-0.3070175438596492,199.993597
2021-05-21,GFGC210.JU,210.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,74.85,0.0,211.013597
2021-05-21,GFGC220.JU,220.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,84.85,0.0,221.013597
2021-05-21,GFGC82983J,82.983,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,52.167,0.0,83.99659700000001
2021-05-21,GFGC85983J,85.983,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,49.167,0.0,86.99659700000001
2021-05-21,GFGC88983J,88.983,Call,44.001,91810.0,46.0,47.5,44.001,48.215,20.0,3.814697265625e-05,-0.01602663706992234,46.167,-0.08740018666390137,89.99659700000001
2021-05-21,GFGC94983J,94.983,Call,0.0,0.0,0.0,0.0,0.0,29.5,0.0,,,40.167,0.0,95.99659700000001
2021-05-21,GFGC97983J,97.983,Call,0.0,0.0,0.0,0.0,0.0,26.5,0.0,,,37.167,0.0,98.99659700000001
2021-05-21,GFGV10098J,100.98,Put,0.286,11665.0,0.35,0.35,0.2,0.272,418.0,0.6338882446289062,0.002116167221605623,34.17,0.051470588235293935,101.99359700000001
2021-05-21,GFGV10398J,103.98,Put,0.328,27568.0,0.25,0.4,0.215,0.34,837.0,0.5990982055664062,0.00242693303736589,31.17,-0.03529411764705881,104.99359700000001
2021-05-21,GFGV10698J,106.98,Put,0.39,281152.0,0.3,0.41,0.29,0.357,7566.0,0.5683517456054688,0.0028856825749167593,28.17,0.09243697478991608,107.99359700000001
2021-05-21,GFGV10998J,109.98,Put,0.488,55513.0,0.33,0.54,0.33,0.416,1177.0,0.5434799194335938,0.003610802811690714,25.17,0.17307692307692313,110.99359700000001
2021-05-21,GFGV11298J,112.98,Put,0.601,77569.0,0.64,0.7,0.375,0.517,1318.0,0.5166244506835938,0.004446910839807621,22.17,0.16247582205029,113.99359700000001
