time,open,high,low,close,Volume
2022-09-15T16:00:00Z,255.152196,255.152196,254.3610264,254.5588188,57307.56085674
2022-09-15T16:30:00Z,255.152196,255.152196,254.5588188,255.0038517,22939.20292185
2022-09-15T17:00:00Z,255.0038517,255.0532998,253.174272,253.5698568,30228.66399316
2022-09-15T17:30:00Z,253.668753,253.668753,249.3667683,252.18531,46908.77910375
2022-09-15T18:00:00Z,251.690829,253.174272,251.4930366,253.1248239,158787.69861734
2022-09-15T18:30:00Z,253.174272,253.5204087,251.4930366,251.5919328,87627.22935765
2022-09-15T19:00:00Z,251.5919328,253.668753,251.2457961,253.174272,110966.85211363
2022-09-15T19:30:00Z,253.174272,256.141158,253.174272,255.5972289,105472.20216753
2022-09-16T14:00:00Z,255.0038517,255.5477808,248.3283582,255.152196,24425.60988188
2022-09-16T14:30:00Z,255.4983327,257.9212896,255.2510922,257.13012,42153.28799287
2022-09-16T15:00:00Z,257.13012,257.5257048,255.3499884,255.646677,25743.15292195
2022-09-16T15:30:00Z,255.646677,260.097006,255.3499884,255.646677,60378.45741292
2022-09-16T16:00:00Z,256.141158,256.5367428,254.9544036,255.646677,33090.2501815
2022-09-16T16:30:00Z,254.9544036,255.646677,254.9544036,255.152196,22096.9056445
2022-09-16T17:00:00Z,255.3994365,255.4983327,254.8060593,255.152196,25250.71741887
2022-09-16T17:30:00Z,255.4983327,256.141158,255.152196,256.0917099,29547.14134618
2022-09-16T18:00:00Z,255.9433656,256.635639,254.657715,254.657715,25190.04774703
2022-09-16T18:30:00Z,255.0532998,257.0312238,255.0038517,256.6850871,54071.84502539
2022-09-16T19:00:00Z,256.6850871,256.8828795,254.7071631,255.4983327,68542.57291989
2022-09-16T19:30:00Z,255.152196,257.0312238,254.7566112,256.3389504,36635.38133922
2022-09-19T14:00:00Z,258.9102516,258.9102516,252.0369657,253.668753,8853.72744352
2022-09-19T14:30:00Z,254.163234,258.8113554,254.163234,258.613563,69356.55768371
2022-09-19T15:00:00Z,258.613563,258.6630111,258.119082,258.4652187,53470.204113
2022-09-19T15:30:00Z,258.119082,259.5036288,258.119082,259.108044,49565.09956904
2022-09-19T16:00:00Z,259.5530769,260.097006,259.108044,260.097006,51741.11846562
2022-09-19T16:30:00Z,260.2947984,265.041816,260.1464541,264.2506464,62001.37113458
2022-09-19T17:00:00Z,264.2506464,265.1407122,263.3605806,264.7945755,125212.09106113
2022-09-19T17:30:00Z,264.7945755,265.041816,262.7672034,264.9923679,163666.55139429
2022-09-19T18:00:00Z,264.9429198,266.525259,264.5967831,266.525259,114271.32690639
2022-09-19T18:30:00Z,266.4758109,271.96455,266.2285704,267.6131172,177660.01120367
2022-09-19T19:00:00Z,268.503183,268.997664,267.8109096,268.008702,87509.93465876
2022-09-19T19:30:00Z,267.8109096,268.008702,267.01974,267.9098058,81929.33601089
2022-09-20T14:00:00Z,267.7614615,267.7614615,262.8660996,264.0034059,22329.47271988
2022-09-20T14:30:00Z,264.052854,264.547335,263.063892,264.1023021,23301.19863048
2022-09-20T15:00:00Z,264.1023021,264.6462312,263.063892,263.8550616,34336.00077657
2022-09-20T15:30:00Z,263.6572692,263.9539578,263.558373,263.6572692,69650.80559213
2022-09-20T16:00:00Z,263.6572692,266.030778,263.558373,265.536297,83551.23857135
2022-09-20T16:30:00Z,265.536297,265.536297,264.052854,265.041816,60438.11592356
2022-09-20T17:00:00Z,264.9923679,265.3385046,264.052854,265.1407122,131379.16320344
2022-09-20T17:30:00Z,265.1407122,266.030778,265.041816,265.6351932,110743.38548903
2022-09-20T18:00:00Z,265.536297,265.536297,265.0912641,265.4374008,20140.30872774
2022-09-20T18:30:00Z,265.4374008,265.9318818,265.1407122,265.8824337,42659.87975271
2022-09-20T19:00:00Z,265.9318818,266.1791223,265.1407122,266.030778,101106.0081176
2022-09-20T19:30:00Z,266.030778,266.1296742,265.1407122,265.9318818,67453.5523104
2022-09-21T14:00:00Z,266.9208438,270.5305551,264.052854,265.2396084,47467.95124585
2022-09-21T14:30:00Z,265.1901603,265.2396084,261.8771376,262.569411,174525.41149205
2022-09-21T15:00:00Z,262.2727224,269.6404893,262.1738262,262.8660996,41548.61359688
2022-09-21T15:30:00Z,262.7672034,269.7393855,262.7672034,265.3385046,73799.59998463
2022-09-21T16:00:00Z,266.2285704,266.2285704,264.052854,264.1023021,41874.20750241
2022-09-21T16:30:00Z,264.052854,264.2011983,262.569411,262.8660996,60736.40847677
2022-09-21T17:00:00Z,263.063892,264.052854,262.3221705,263.9539578,33090.2501815
2022-09-21T17:30:00Z,264.052854,265.041816,263.9539578,264.3989907,38550.5206469
2022-09-21T18:00:00Z,264.3989907,265.536297,262.569411,265.3879527,68538.5282751
2022-09-21T18:30:00Z,265.3879527,268.6515273,265.041816,267.5636691,139361.26969489
2022-09-21T19:00:00Z,268.008702,269.986626,265.041816,265.1407122,53603.67739104
2022-09-21T19:30:00Z,264.5967831,267.01974,264.547335,265.041816,101171.73359543
2022-09-22T14:00:00Z,265.9318818,265.9318818,262.1243781,265.8329856,13266.43490852
2022-09-22T14:30:00Z,265.041816,267.01974,265.041816,265.041816,13662.81009786
2022-09-22T15:00:00Z,265.041816,266.030778,264.7451274,265.536297,13152.17369323
2022-09-22T15:30:00Z,265.536297,266.3274666,265.536297,265.7340894,26862.50836736
2022-09-22T16:00:00Z,265.9318818,266.030778,265.536297,265.536297,16469.79358155
2022-09-22T16:30:00Z,265.536297,265.536297,263.063892,264.8440236,28444.97564113
2022-09-22T17:00:00Z,264.9429198,265.4374008,262.3221705,263.3605806,33497.74814401
2022-09-22T17:30:00Z,263.4100287,265.041816,263.4100287,265.041816,29760.49635881
2022-09-22T18:00:00Z,265.041816,265.041816,263.558373,263.8550616,23728.91981694
2022-09-22T18:30:00Z,264.052854,264.3000945,263.8550616,264.3000945,44779.27362224
2022-09-22T19:00:00Z,264.3000945,267.01974,264.1023021,267.01974,107702.82376876
2022-09-22T19:30:00Z,267.01974,268.008702,266.4263628,267.514221,39661.78680273
2022-09-23T14:00:00Z,257.8718415,261.6298971,255.152196,260.097006,141642.44935599
2022-09-23T14:30:00Z,257.7234972,261.4815528,257.7234972,260.0475579,56232.69650401
2022-09-23T15:00:00Z,259.602525,260.591487,257.13012,258.8113554,110705.97252473
2022-09-23T15:30:00Z,258.7124592,259.108044,258.2674263,259.108044,40849.90120955
2022-09-23T16:00:00Z,259.108044,259.602525,258.613563,258.613563,56305.50011022
2022-09-23T16:30:00Z,258.613563,258.8113554,257.13012,257.5257048,70218.06702381
2022-09-23T17:00:00Z,257.9212896,258.7619073,257.13012,258.613563,52665.31979995
2022-09-23T17:30:00Z,258.613563,258.613563,255.152196,257.13012,63014.55465427
2022-09-23T18:00:00Z,257.13012,257.13012,255.646677,255.646677,28486.43325022
2022-09-23T18:30:00Z,256.141158,256.141158,255.3994365,255.5477808,54322.61300232
2022-09-23T19:00:00Z,255.4488846,256.141158,254.657715,254.7071631,28945.50043379
2022-09-23T19:30:00Z,254.657715,256.141158,254.163234,255.1027479,84089.17632831
2022-09-26T14:00:00Z,253.174272,254.657715,248.229462,254.5588188,12848.82533404
2022-09-26T14:30:00Z,254.6082669,254.657715,251.5424847,251.5424847,14973.27500956
2022-09-26T15:00:00Z,251.196348,251.196348,248.3283582,248.5261506,77381.13294545
2022-09-26T15:30:00Z,250.207386,250.4546265,242.29569,246.9438114,104119.26848554
2022-09-26T16:00:00Z,246.9438114,246.9438114,244.273614,244.3230621,149997.67432925
2022-09-26T16:30:00Z,245.0647836,245.1636798,243.3341001,245.0153355,156344.73316467
2022-09-26T17:00:00Z,245.0153355,245.0153355,243.4824444,243.7296849,135602.78352454
2022-09-26T17:30:00Z,243.8780292,244.0758216,238.6859787,239.823285,207572.18174207
2022-09-26T18:00:00Z,239.823285,243.0374115,239.328804,241.801209,157294.21352893
2022-09-26T18:30:00Z,241.801209,241.801209,239.5265964,240.0705255,146052.1233374
2022-09-26T19:00:00Z,240.812247,241.801209,240.317766,240.317766,88662.65842368
2022-09-26T19:30:00Z,240.317766,240.5155584,239.1310116,239.6749407,167272.35222385
2022-09-27T14:00:00Z,241.801209,242.2462419,239.328804,242.0484495,70079.53793978
2022-09-27T14:30:00Z,242.0484495,242.29569,239.328804,239.9221812,185302.36753283
2022-09-27T15:00:00Z,240.0705255,240.0705255,235.4718522,235.4718522,154866.41549423
2022-09-27T15:30:00Z,235.4718522,236.2135737,234.1862016,234.383994,200022.85224306
2022-09-27T16:00:00Z,234.1862016,234.2850978,231.6643485,232.40607,219846.66751604
2022-09-27T16:30:00Z,232.6533105,233.2961358,232.1093814,232.40607,326404.85680946
2022-09-27T17:00:00Z,232.40607,233.2961358,231.6149004,231.8126928,138898.15786653
2022-09-27T17:30:00Z,231.8126928,233.0983434,230.428146,231.417108,293800.97516386
2022-09-27T18:00:00Z,231.417108,232.40607,230.428146,231.1698675,202926.90720169
2022-09-27T18:30:00Z,231.1698675,232.8016548,229.6369764,230.922627,265106.242707
2022-09-27T19:00:00Z,230.428146,230.8731789,227.46126,228.0546372,817718.98212469
2022-09-27T19:30:00Z,228.1535334,228.8458068,226.1756094,226.472298,538713.31759967
2022-09-28T14:00:00Z,227.46126,229.933665,224.494374,228.944703,181494.33446381
